      No     Day     Mon    Year  Qobs_0000000045  Qsim_0000000045
       1       1       3    1993       50.5000000       28.4265090
       2       2       3    1993       48.5000000       63.2309842
       3       3       3    1993       46.6000000       64.4375426
       4       4       3    1993       46.6000000       62.0832238
       5       5       3    1993       48.5000000       60.1219780
       6       6       3    1993       47.5000000       58.4193387
       7       7       3    1993       68.8000000       57.2374382
       8       8       3    1993       52.6000000       56.4085826
       9       9       3    1993       39.8000000       54.8177970
      10      10       3    1993       43.8000000       54.0304487
      11      11       3    1993       42.2000000       54.4331445
      12      12       3    1993       42.2000000       52.2014740
      13      13       3    1993       38.3000000       50.2359058
      14      14       3    1993       42.2000000       49.6743457
      15      15       3    1993       44.7000000       48.8957824
      16      16       3    1993       44.7000000       47.8200889
      17      17       3    1993       43.8000000       46.6683911
      18      18       3    1993       44.7000000       46.0307714
      19      19       3    1993       44.7000000       44.5896559
      20      20       3    1993       43.0000000       43.7168857
      21      21       3    1993       41.3000000       42.9835658
      22      22       3    1993       41.3000000       42.2855751
      23      23       3    1993       41.3000000       45.6380931
      24      24       3    1993       44.7000000       62.4868090
      25      25       3    1993       70.0000000       69.0260168
      26      26       3    1993      106.0000000       49.9966175
      27      27       3    1993       88.2000000       42.8833252
      28      28       3    1993       82.9000000       41.4219974
      29      29       3    1993       63.8000000       40.7167174
      30      30       3    1993       54.9000000       40.0346669
      31      31       3    1993       52.6000000       39.3808003
      32       1       4    1993       50.5000000       38.9874349
      33       2       4    1993       50.5000000       39.8033045
      34       3       4    1993       53.7000000       39.5250179
      35       4       4    1993       60.1000000       38.6072981
      36       5       4    1993       56.0000000       37.2804331
      37       6       4    1993       56.0000000       36.8084715
      38       7       4    1993       54.9000000       36.4713486
      39       8       4    1993       56.5000000       35.8900908
      40       9       4    1993       53.7000000       35.1955626
      41      10       4    1993       51.6000000       37.6654418
      42      11       4    1993       56.0000000       58.1430933
      43      12       4    1993      106.0000000       68.9125437
      44      13       4    1993      158.0000000       65.9552845
      45      14       4    1993      222.0000000       61.1757307
      46      15       4    1993      209.0000000       53.1407479
      47      16       4    1993      194.0000000       47.7627609
      48      17       4    1993      158.0000000       44.5296422
      49      18       4    1993      126.0000000       42.7370740
      50      19       4    1993      113.0000000       41.4977174
      51      20       4    1993      106.0000000       40.3801327
      52      21       4    1993      100.0000000       39.3385166
      53      22       4    1993       98.9000000       38.3651952
      54      23       4    1993       94.8000000       37.4539641
      55      24       4    1993       90.8000000       36.5992415
      56      25       4    1993       88.2000000       35.7959959
      57      26       4    1993       82.9000000       35.0396894
      58      27       4    1993       77.7000000       34.3262258
      59      28       4    1993       75.1000000       33.6519055
      60      29       4    1993       76.4000000       33.0529310
      61      30       4    1993       75.1000000       35.8571439
      62       1       5    1993       73.8000000       37.7480513
      63       2       5    1993       68.8000000       33.6546221
      64       3       5    1993       67.5000000       32.2303422
      65       4       5    1993       66.3000000       31.7215796
      66       5       5    1993       67.5000000       31.6853549
      67       6       5    1993       66.3000000       30.8163711
      68       7       5    1993       68.8000000       30.7057503
      69       8       5    1993       63.8000000       35.2899331
      70       9       5    1993       62.6000000       36.2034716
      71      10       5    1993       61.3000000       31.9700013
      72      11       5    1993       60.1000000       29.8074612
      73      12       5    1993       65.0000000       29.0022695
      74      13       5    1993       62.6000000       28.5190312
      75      14       5    1993       58.9000000       28.1084284
      76      15       5    1993       57.2000000       28.7907342
